[Class 1], LDA, 1, 0.6598608325462545, 0.05218061130006294
[Class 2], LDA, 1, 0.7544261859014697, 0.09729734495047407
[General], LDA, 1, 0.7058139534883722, 0.064414107473461
[Class 1], LDA, 2, 0.6720201678155834, 0.05223657703180112
[Class 2], LDA, 2, 0.7617993108362129, 0.09609473598029537
[General], LDA, 2, 0.7162653898768812, 0.06343518659527761
[Class 1], LDA, 3, 0.6799622117308776, 0.050855008105274685
[Class 2], LDA, 3, 0.7552619773738403, 0.08174766000990867
[General], LDA, 3, 0.7186320109439125, 0.05457603612000669
[Class 1], LDA, 4, 0.6816023516984083, 0.04621660000343561
[Class 2], LDA, 4, 0.752611597704621, 0.08138009040179271
[General], LDA, 4, 0.7186183310533517, 0.051607228947094935
[Class 1], LDA, 5, 0.6864170715047125, 0.038321183666169746
[Class 2], LDA, 5, 0.7513880047628352, 0.08033527964346426
[General], LDA, 5, 0.720984952120383, 0.053239497841979205
[Class 1], LDA, 6, 0.6897034534534535, 0.041734517334778135
[Class 2], LDA, 6, 0.7587160522373448, 0.08560268115970278
[General], LDA, 6, 0.7255950752393983, 0.05579424996220585
[Class 1], LDA, 7, 0.6797011395579794, 0.04814495557656657
[Class 2], LDA, 7, 0.7527146626152741, 0.08557563171537409
[General], LDA, 7, 0.7174692202462382, 0.05712673979438303
[Class 1], LDA, 8, 0.0, 0.0
[Class 2], LDA, 8, 0.0, 0.0
[General], LDA, 8, 0.0, 0.0
[Class 1], QDA, 1, 0.5616883116883116, 0.19968873423168815
[Class 2], QDA, 1, 0.5472602906698529, 0.043868338191959184
[General], QDA, 1, 0.546046511627907, 0.036061976710376566
[Class 1], QDA, 2, 0.5616883116883116, 0.19968873423168815
[Class 2], QDA, 2, 0.5472602906698529, 0.043868338191959184
[General], QDA, 2, 0.546046511627907, 0.036061976710376566
[Class 1], QDA, 3, 0.5616883116883116, 0.19968873423168815
[Class 2], QDA, 3, 0.5472602906698529, 0.043868338191959184
[General], QDA, 3, 0.546046511627907, 0.036061976710376566
[Class 1], QDA, 4, 0.5616883116883116, 0.19968873423168815
[Class 2], QDA, 4, 0.5472602906698529, 0.043868338191959184
[General], QDA, 4, 0.546046511627907, 0.036061976710376566
[Class 1], QDA, 5, 0.5601010101010101, 0.20220720318472252
[Class 2], QDA, 5, 0.5475215167855094, 0.044862988645803493
[General], QDA, 5, 0.546046511627907, 0.037531756430889227
[Class 1], QDA, 6, 0.5527777777777778, 0.2145048849770381
[Class 2], QDA, 6, 0.5474656744272935, 0.04256389830406089
[General], QDA, 6, 0.5460601915184679, 0.03508506844147775
[Class 1], QDA, 7, 0.5527777777777778, 0.2145048849770381
[Class 2], QDA, 7, 0.5474656744272935, 0.04256389830406089
[General], QDA, 7, 0.5460601915184679, 0.03508506844147775
[Class 1], QDA, 8, 0.0, 0.0
[Class 2], QDA, 8, 0.0, 0.0
[General], QDA, 8, 0.0, 0.0
[Class 1], GaussianNB, 1, 0.6296076268857599, 0.04121803042359457
[Class 2], GaussianNB, 1, 0.7732366820602115, 0.10590799031387943
[General], GaussianNB, 1, 0.6906566347469221, 0.05982615295210032
[Class 1], GaussianNB, 2, 0.6469907627783545, 0.04479460361474809
[Class 2], GaussianNB, 2, 0.7794726653547033, 0.1055913247201691
[General], GaussianNB, 2, 0.7046101231190152, 0.0607763236858702
[Class 1], GaussianNB, 3, 0.668575657239726, 0.049009880131814156
[Class 2], GaussianNB, 3, 0.7854634315821358, 0.09698936971333456
[General], GaussianNB, 3, 0.722093023255814, 0.059194207956890996
[Class 1], GaussianNB, 4, 0.7250946275946276, 0.06431957054375426
[Class 2], GaussianNB, 4, 0.7284963143217686, 0.07351181512738636
[General], GaussianNB, 4, 0.7256361149110807, 0.05624805036347839
[Class 1], GaussianNB, 5, 0.7121398389627678, 0.051035298824329584
[Class 2], GaussianNB, 5, 0.7259756697203505, 0.07564262523323236
[General], GaussianNB, 5, 0.7209302325581395, 0.05794149904767868
[Class 1], GaussianNB, 6, 0.6938507984669064, 0.043597772023345985
[Class 2], GaussianNB, 6, 0.7257020971196009, 0.0702568990890499
[General], GaussianNB, 6, 0.7128454172366622, 0.05035264452028683
[Class 1], GaussianNB, 7, 0.7014643033245574, 0.049336266156121904
[Class 2], GaussianNB, 7, 0.706430595590545, 0.06903442092467431
[General], GaussianNB, 7, 0.7047195622435021, 0.04981818162508177
[Class 1], GaussianNB, 8, 0.0, 0.0
[Class 2], GaussianNB, 8, 0.0, 0.0
[General], GaussianNB, 8, 0.0, 0.0
[Class 1], LogRegression, 1, 0.6573069877276444, 0.08266615278155158
[Class 2], LogRegression, 1, 0.6628117526804416, 0.05284809116015512
[General], LogRegression, 1, 0.6546374829001369, 0.03144799462866346
[Class 1], LogRegression, 2, 0.669909313465914, 0.08154431141621836
[Class 2], LogRegression, 2, 0.6771903444073957, 0.04832966304613055
[General], LogRegression, 2, 0.6698358413132696, 0.03068239656787593
[Class 1], LogRegression, 3, 0.680116106406429, 0.08082211252148894
[Class 2], LogRegression, 3, 0.6766296198102569, 0.050831868824249206
[General], LogRegression, 3, 0.673310533515732, 0.026629687622201064
[Class 1], LogRegression, 4, 0.680116106406429, 0.08082211252148894
[Class 2], LogRegression, 4, 0.6766296198102569, 0.050831868824249206
[General], LogRegression, 4, 0.673310533515732, 0.026629687622201064
[Class 1], LogRegression, 5, 0.6666742044047915, 0.08587111921199579
[Class 2], LogRegression, 5, 0.6754755159028525, 0.051305188020650073
[General], LogRegression, 5, 0.6663201094391246, 0.029633232294687332
